Company index,Quoted,Country ISO code,NACE2,Operating revenue EU (Turnover LAY),Number of employees (LAY),Size classification,DPO,Purpose,Acquired data,Data sharing,Rights
213,No,DE,TRANSPORTATION AND STORAGE,,237.0,Large or Very large company,0,1,0,0,1
214,Yes,FR,INFORMATION AND COMMUNICATION,529000.0,,Large or Very large company,1,1,1,1,1
215,No,IE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,4275407.0,,Large or Very large company,1,1,1,1,1
216,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,1,1
217,No,PL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",9186571.661065,264.0,Large or Very large company,0,0,0,1,0
218,Yes,SE,MINING AND QUARRYING,49680.1310273041,,Large or Very large company,1,1,1,1,1
219,No,PT,"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",18806878.0,357.0,Large or Very large company,1,0,0,0,1
221,No,DE,MANUFACTURING,,194.0,Large or Very large company,1,0,0,0,1
222,No,DK,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,145176641.765877,183.0,Large or Very large company,1,1,1,1,1
223,No,NL,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,Large or Very large company,0,1,0,0,1
224,No,FR,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",314466000.0,1346.0,Large or Very large company,1,1,0,1,1
225,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,1.0,Large or Very large company,1,1,1,0,1
226,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,239587952.0,150.0,Large or Very large company,0,1,0,1,1
227,No,IT,INFORMATION AND COMMUNICATION,28737081.0,115.0,Large or Very large company,1,0,0,0,0
228,No,DE,TRANSPORTATION AND STORAGE,,1140.0,Large or Very large company,1,1,0,0,1
229,No,DE,"ARTS, ENTERTAINMENT AND RECREATION",28939606.72,13.0,Large or Very large company,1,1,1,1,1
230,No,DE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",122484323.92,731.0,Large or Very large company,1,1,1,1,1
231,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,103000.0,,Large or Very large company,1,0,0,0,1
232,No,ES,FINANCIAL AND INSURANCE ACTIVITIES,9940000.0,14.0,Large or Very large company,0,1,1,1,0
233,No,IT,MANUFACTURING,28010813.0,94.0,Large or Very large company,1,1,1,1,1
234,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,62671001.5740001,9.0,Large or Very large company,1,1,1,1,0
235,No,IE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,44256580.0,48.0,Large or Very large company,1,1,1,1,1
236,No,BE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,16872904.0,36.0,Large or Very large company,1,0,0,0,0
237,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,0,1,1
238,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,128941862.69,83.0,Large or Very large company,1,0,1,1,0
239,No,DE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,19085004.18,160.0,Large or Very large company,1,1,1,1,0
240,No,CZ,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,11680623.7930674,6.0,Large or Very large company,1,0,0,0,0
241,No,IE,No Information,,,Large or Very large company,0,1,0,0,0
242,No,FI,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",168764000.0,220.0,Large or Very large company,0,1,1,1,1
243,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,1,1
244,No,SE,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",3815319.19554198,13.0,Large or Very large company,1,1,1,1,1
245,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,-21411.0,,Large or Very large company,1,1,1,1,1
246,No,BE,TRANSPORTATION AND STORAGE,29679697.0,154.0,Large or Very large company,1,1,1,1,1
247,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,36596779.0,20.0,Large or Very large company,0,0,0,1,1
248,No,DE,MANUFACTURING,,269.0,Large or Very large company,0,1,1,1,0
249,No,NL,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,,1.0,Large or Very large company,1,1,1,0,1
250,No,FR,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,11973808.0,,Large or Very large company,1,1,1,0,1
251,No,SE,INFORMATION AND COMMUNICATION,502736.123613489,,Large or Very large company,1,0,0,0,0
252,No,FR,FINANCIAL AND INSURANCE ACTIVITIES,2852440.0,6.0,Large or Very large company,1,1,1,0,1
253,No,PL,FINANCIAL AND INSURANCE ACTIVITIES,,228.0,Large or Very large company,0,0,1,0,0
256,No,FR,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,3977422.0,,Large or Very large company,1,1,0,1,1
258,No,BE,MANUFACTURING,23393589.0,76.0,Large or Very large company,1,0,0,0,1
260,No,IT,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,83855638.0,268.0,Large or Very large company,1,0,0,1,1
261,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,Large or Very large company,1,0,1,0,1
262,No,NL,FINANCIAL AND INSURANCE ACTIVITIES,,150.0,Large or Very large company,0,0,0,1,0
263,No,DE,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,10504000.0,194.0,Large or Very large company,0,0,0,0,1
264,No,PL,FINANCIAL AND INSURANCE ACTIVITIES,81800404.9409781,,Large or Very large company,1,1,1,1,1
267,No,DE,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,42460854.07,148.0,Large or Very large company,1,0,0,0,1
269,No,ES,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,238804042.1,801.0,Large or Very large company,1,1,1,1,1
270,No,LU,FINANCIAL AND INSURANCE ACTIVITIES,,,Large or Very large company,1,1,1,0,1
271,No,NL,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,Large or Very large company,1,1,1,1,1
